,Title,Published_date,Views,Likes,Comments,Month
0,#DataAnalyst #DataCareers #DataAnalysis,2023-10-05,2311,209,7,Oct
1,"Data Analyst vs Data Engineer | Responsibilities, Salaries, Skills, Education",2023-10-03,17960,430,30,Oct
2,Data Analyst Q/A Livestream | September Livestream | Ask Me Anything!,2023-09-28,7626,267,21,Sep
3,#Salary #DataAnalyst #SalaryNegotiation,2023-09-28,6918,455,5,Sep
4,AI and Analytics with SAS | SAS Explore Recap,2023-09-26,7992,265,17,Sep
5,My Very First Video,2023-09-25,3994,224,22,Sep
6,#DataAnalyst #CareerPath,2023-09-22,6596,551,10,Sep
7,"Data Analyst vs Data Scientist | Responsibilities, Salaries, Skills, Education",2023-09-19,32190,738,51,Sep
8,#Excel #DataAnalyst #DataAnalysis,2023-09-18,8272,752,17,Sep
9,"Data Analyst vs Business Analyst | Responsibilities, Salaries, Skills, Education",2023-09-12,31534,1185,90,Sep
10,#DataAnalysis #DataAnalyst,2023-09-07,8891,658,13,Sep
11,Hard Skills vs Soft Skills in the Data World | Which is More Important?,2023-09-05,9966,537,26,Sep
12,"Entry Level vs Mid Level vs Senior Level Data Analyst | Responsibilities, Salary, Education, Skills",2023-08-29,32670,1559,115,Aug
13,#DataAnalyst #DataAnalysis #Promotion,2023-08-28,7229,446,9,Aug
14,#DataAnalyst #DataAnalysis,2023-08-24,13204,905,43,Aug
15,Regular Expression Use Cases in Python,2023-08-22,4218,119,18,Aug
16,Data Analyst Q/A Livestream | August Livestream | Ask Me Anything!,2023-08-18,8191,318,25,Aug
17,#DataAnalystSalary #DataAnalysis,2023-08-17,17394,1264,31,Aug
18,How to Work with Recruiters on LinkedIn,2023-08-15,19263,1048,68,Aug
19,#dataanalysis #dataportfolio,2023-08-14,13890,1281,18,Aug
20,#wife #careerchange #dataanalysis,2023-08-11,13439,1230,44,Aug
21,LINK: https://www.youtube.com/playlist?list=PLUaB-1hjhk8FE_XZ87vPPSfHqb6OcM0cF,2023-08-09,5518,636,40,Aug
22,Regular Expression Character Classes in Python,2023-08-08,5489,111,14,Aug
23,#Recruiters #dataanalysis #data,2023-08-03,11937,812,24,Aug
24,Regular Expression Metacharacters in Python,2023-08-01,3681,99,8,Aug
25,How much do Data Analysts make? #dataanalyst #dataanalystsalary,2023-07-31,13647,588,39,Jul
26,Do you need to learn SQL if you can do everything in Python?  #Python #dataanalysis #SQL,2023-07-28,25476,1787,32,Jul
27,Regular Expression Methods in Python,2023-07-25,4286,158,7,Jul
28,What are Hiring Managers Looking For? | Nail the Interview Process!,2023-07-18,16865,791,62,Jul
29,Scraping Data from a Real Website | Web Scraping in Python,2023-07-11,73847,1741,106,Jul
